ACTOR_SECURITY	${stringTableActorSecurityTitle}
ACTOR_SECURITY|SECURE_STATE=TRUE	${stringTableActorSecuritySecureStateTrue}
ACTOR_SECURITY|SECURE_STATE=FALSE	${stringTableActorSecuritySecureStateFalse}
ACTOR_SECURITY|ON_TIME	${stringTableActorSecurityOnTime}
ACTOR_WINDOW	${stringTableActorWindowTitle}
ACTOR_WINDOW|ERROR=NO_ERROR	${stringTableActorWindowNoError}
ACTOR_WINDOW|ERR_WINDOW_NOT_FOUND=TRUE	${stringTableActorWindowErrorNotFound}
ACTOR_WINDOW|ERR_DETECT_EIA485_SERVICE=TRUE	${stringTableActorWindowErrorETA485}
ACTOR_WINDOW|ERR_TTM_INTERNAL=TRUE	${stringTableActorWindowErrorTipTronicModul}
ACTOR_WINDOW|ERR_TTCU_INTERNAL_TEST=TRUE	${stringTableActorWindowErrorWindowControlDevice}
ACTOR_WINDOW|ERR_TTM_OVERVOLT=OVERVOLT	${stringTableActorWindowErrorVoltageOver}
ACTOR_WINDOW|ERR_TTM_OVERVOLT=NO_ERROR	${stringTableActorWindowErrorVoltageOverNoError}
ACTOR_WINDOW|STICKY_ERR_TTM_OVERVOLT=WAS_OVERVOLT	${stringTableActorWindowErrorStickyWasVoltageOver}
ACTOR_WINDOW|STICKY_ERR_TTM_OVERVOLT=OVERVOLT	${stringTableActorWindowErrorVoltageOver}
ACTOR_WINDOW|ERR_TTM_UNDERVOLT=UNDERVOLT	${stringTableActorWindowErrorVoltageUnder}
ACTOR_WINDOW|ERR_TTM_UNDERVOLT=NO_ERROR	${stringTableActorWindowErrorVoltageUnderNoError}
ACTOR_WINDOW|STICKY_ERR_TTM_UNDERVOLT=WAS_UNDERVOLT	${stringTableActorWindowErrorStickyWasVoltageUnder}
ACTOR_WINDOW|STICKY_ERR_TTM_UNDERVOLT=UNDERVOLT	${stringTableActorWindowErrorVoltageUnder}
ACTOR_WINDOW|ERR_TTCU_LOCK_ROLLERS_SHORTED=TRUE	${stringTableActorWindowErrorLockRoller}
ACTOR_WINDOW|ERR_TTCU_SENSOR_STRIP_SHORTED=TRUE	${stringTableActorWindowErrorSensorStrip_0}
ACTOR_WINDOW|ERR_TTCU_SENSOR_STRIP_DISCONNECTED=TRUE	${stringTableActorWindowErrorSensorStrip_1}
ACTOR_WINDOW|ERR_TTCU_TURN_TILT_ACT_NO_SPEED_SIGNAL=TRUE	${stringTableActorWindowErrorNoSpeedSignal}
ACTOR_WINDOW|ERR_TTCU_TURN_TILT_ACT_SHORTED=TRUE	${stringTableActorWindowErrorTurnTiltAct_0}
ACTOR_WINDOW|ERR_TTCU_TURN_TILT_ACT_BLOCKED=TRUE	${stringTableActorWindowErrorTurnTiltAct_1}
ACTOR_WINDOW|ERR_TTCU_TURN_TILT_ACT_OVERCURRENT=TRUE	${stringTableActorWindowErrorTurnTiltAct_2}
ACTOR_WINDOW|ERR_TTCU_TURN_TILT_ACT_CONTACT_PROBLEM=TRUE	${stringTableActorWindowErrorTurnTiltAct_3}
ACTOR_WINDOW|ERR_TTCU_TURN_TILT_ACT_ASYNCHRON=TRUE	${stringTableActorWindowErrorAsynchron}

ACTOR_WINDOW|ERR_TTCU_MAGNET_ERROR=TRUE	${stringTableActorWindowErrorMagnet}
ACTOR_WINDOW|ERR_TTCU_POWER_ONTIME_EXCEEDED=TRUE	${stringTableActorWindowErrorOntimeExceeded}
ACTOR_WINDOW|ERR_TTCU_STOP_AFTER_10_CLOSING_TRIES=TRUE	${stringTableActorWindowErrorCancel10}
ACTOR_WINDOW|ERR_TTCU_TURN_TILT_ACT_ALLOY_MOSFET=TRUE	${stringTableActorWindowErrorMOSFET}
ACTOR_WINDOW|ERR_WIN_STAY_IN_INITIAL_OPERATION=TRUE	${stringTableActorWindowErrorStayInInitial}
ACTOR_WINDOW|ERR_TTCU_WRONG_VOLTAGE_POLARITY=TRUE	${stringTableActorWindowErrorVoltageWrongPolarity}

ACTOR_WINDOW|FREE_TO_USE=TRUE	${stringTableActorWindowErrorFreeToUse}
ACTOR_WINDOW|HANDLE_LED_MODE=OFF	${stringTableActorWindowLEDOff}
ACTOR_WINDOW|HANDLE_LED_MODE=DIMMED_ON	${stringTableActorWindowLEDDimmed}
ACTOR_WINDOW|HANDLE_LED_MODE=FULL_ON	${stringTableActorWindowLEDOn}
ACTOR_WINDOW|HANDLE_LOCK=TRUE	${stringTableActorWindowHandleLockTrue}
ACTOR_WINDOW|HANDLE_LOCK=FALSE	${stringTableActorWindowHandleLockFalse}
ACTOR_WINDOW|LEVEL	${stringTableActorWindowLevel}
ACTOR_WINDOW|LEVEL=LOCKED	${stringTableActorWindowLevelLocked}
ACTOR_WINDOW|ON_TIME	${stringTableActorWindowOnTime}
ACTOR_WINDOW|RELEASE_TURN=TRUE	${stringTableActorWindowReleaseTurnTrue}
ACTOR_WINDOW|RELEASE_TURN=FALSE	${stringTableActorWindowReleaseTurnFalse}
ACTOR_WINDOW|SHEV_POS=ZULUFT_DEACTIVATED	${stringTableActorWindowVentDeactivated}
ACTOR_WINDOW|SHEV_POS=ZULUFT_UNBLOCKED	${stringTableActorWindowVentUnblocked}
ACTOR_WINDOW|SHEV_POS=ZULUFT_BLOCKED	${stringTableActorWindowVentBlocked}
ACTOR_WINDOW|STATUSINFO_MINDELAY	${stringTableActorWindowStatusInfoMinDelay}
ACTOR_WINDOW|STATUSINFO_MINDELAY=NOT_USED	${stringTableActorWindowStatusInfoNotUsed}
ACTOR_WINDOW|STATUSINFO_RANDOM	${stringTableActorWindowStatusInfoRandom}
ACTOR_WINDOW|STOP	${stringTableActorWindowStop}
ACTOR_WINDOW|WINTER_MODE	${stringTableActorWindowWinterMode}
ACTOR_WINDOW|WINTER_MODE=NOT_USED	${stringTableActorWindowWinterModeNotUsed}
ACTOR_WINDOW|WIN_RELEASE=TRUE	${stringTableActorWindowReleaseTrue}
ACTOR_WINDOW|WIN_RELEASE=FALSE	${stringTableActorWindowReleaseFalse}
ACTOR_WINDOW|WIN_RELEASE_ACT	${stringTableActorWindowReleaseAction}

AKKU|LEVEL	${stringTableAccuLevel}
AKKU|STATUS=CHARGE	${stringTableAccuCharging}
AKKU|STATUS=DISCHARGE	${stringTableAccuDischarge}
AKKU|STATUS=STATE_UNKNOWN	${stringTableAccuStateUnkown}
AKKU|STATUS=TRICKLE_CHARGE	${stringTableAccuTrickleCharg}
ALARMACTUATOR	${stringTableAlarmActuatorTitle}
ALARMACTUATOR|ERROR_BATTERY=BATTERY_DEFECT	${stringTableBatteryDefect}
ALARMACTUATOR|ERROR_BATTERY=NO_ERROR	${stringTableBatteryNotDefect}
ALARMACTUATOR|CYCLIC_INFO_MSG	${stringTableAlarmActuatorCyclicInfoMsg}
ALARMACTUATOR|ON_TIME	${stringTableAlarmActuatorOnTime}
ALARMACTUATOR|SABOTAGE_MSG	${stringTableAlarmActuatorSabotageMsg}
ALARMACTUATOR|STATE=FALSE	${stringTableAlarmActuatorStateFalse}
ALARMACTUATOR|STATE=TRUE	${stringTableAlarmActuatorStateTrue}
ALL_LEDS	${stringTableAllLEDs}
ANALOG_INPUT	${stringTableAnalog}
ANALOG_OUTPUT	${stringTableAnalog}
BACKLIGHT_AT_CHARGE	${stringTableBackLightAtCharge}
BACKLIGHT_AT_KEYSTROKE	${stringTableBackLightAtKeystroke}
BACKLIGHT_AT_MOTION	${stringTableBackLightAtMotion}
BACKLIGHT_ON_TIME	${stringTableBackLightOnTime}
BAT_DEFECT_LIMIT	${stringTableBatDefectLimit}
BLIND	${stringTableBlindTitle}
BLIND|CHANGE_OVER_DELAY	${stringTableBlindChangeOverDelay}
BLIND|LEVEL	${stringTableBlindLevel}
BLIND|REFERENCE_RUNNING_TIME_BOTTOM_TOP	${stringTableBlindRunnintTimeBottomTop}
BLIND|REFERENCE_RUNNING_TIME_TOP_BOTTOM	${stringTableBlindRunningTimeTopBottom}
BLIND|REFERENCE_RUN_COUNTER	${stringTableBlindRefRunCounter}
BLIND|STATUSINFO_MINDELAY	${stringTableStatusInfoMinDelay}
BLIND|STATUSINFO_RANDOM	${stringTableStatusInfoRandom}
BLIND|STOP	${stringTableBlindStop}
BURST_RX	${stringTableBurstRX}
BUTTON_LOCK	${stringTableButtonLock}
BUTTON_RESPONSE_WITHOUT_BACKLIGHT	${stringTableButtonResponseWithoutBacklight}
CAPACITIVE_FILLING_LEVEL_SENSOR	${stringTableCapacitiveFillingSensorTitle}
CAPACITIVE_FILLING_LEVEL_SENSOR|CASE_DESIGN	${stringTableCapacitiveFillingSensorCaseDesign}
CAPACITIVE_FILLING_LEVEL_SENSOR|CASE_DESIGN=HORIZONTAL_BARREL	${stringTableCapacitiveFillingSensorCaseDesignHor}
CAPACITIVE_FILLING_LEVEL_SENSOR|CASE_DESIGN=VERTICAL_BARREL	${stringTableCapacitiveFillingSensorCaseDesignVer}
CAPACITIVE_FILLING_LEVEL_SENSOR|CASE_DESIGN=RECTANGLE	${stringTableCapacitiveFillingSensorCaseDesginRect}
CAPACITIVE_FILLING_LEVEL_SENSOR|CASE_HIGH	${stringTableCapacitiveFillingSensorCaseHeight}
CAPACITIVE_FILLING_LEVEL_SENSOR|CASE_WIDTH	${stringTableCapacitiveFillingSensorCaseWidth}
CAPACITIVE_FILLING_LEVEL_SENSOR|CASE_LENGTH	${stringTableCapacitiveFillingSensorCaseLength}
CAPACITIVE_FILLING_LEVEL_SENSOR|CONTROLTEXT_FILLINGLEVEL	${stringTableCapacitiveFillingSensorTextFillingLevel}
CAPACITIVE_FILLING_LEVEL_SENSOR|CONTROLTEXT_CALC_FILLINGLEVEL	${stringTableCapacitiveFillingSensorTextCalcFillingLevel}
CAPACITIVE_FILLING_LEVEL_SENSOR|FILL_LEVEL	${stringTableCapacitiveFillingSensorFillingLevel100perc}
CAPACITIVE_FILLING_LEVEL_SENSOR|FILL_LEVEL_UPPER_THRESHOLD	${stringTableCapacitiveFillingSensorFillingLevelUpperThres}
CAPACITIVE_FILLING_LEVEL_SENSOR|FILL_LEVEL_LOWER_THRESHOLD	${stringTableCapacitiveFillingSensorFillingLevelLowerThres}
CAPACITIVE_FILLING_LEVEL_SENSOR|FILLING_LEVEL	${stringTableCapacitiveFillingSensorFillingLevel}
CAPACITIVE_FILLING_LEVEL_SENSOR|MEA_LENGTH	${stringTableCapacitiveFillingSensorMeaLength}
CAPACITIVE_FILLING_LEVEL_SENSOR|USE_CUSTOM	${stringTableCapacitiveFillingSensorCustomCal}
CAPACITIVE_FILLING_LEVEL_SENSOR|WATER_LOWER_THRESHOLD_CH	${stringTableCapacitiveFillingSensorWaterLowerThres}
CAPACITIVE_FILLING_LEVEL_SENSOR|WATER_UPPER_THRESHOLD_CH	${stringTableCapacitiveFillingSensorWaterUpperThres}
CENTRAL_KEY|DBL_PRESS_TIME	${stringTableCentralKeyDblPressTime}
CENTRAL_KEY|LONG_PRESS_TIME	${stringTableCentralKeyLongPressTime}
CHARACTERISTIC_LINEAR	${stringTableCharasteristicLinear}
CHARACTERISTIC_SQUARE	${stringTableCharasteristicSquare}
CLIMATECONTROL_RECEIVER	${stringTableClimateControlReceiver}
CLIMATECONTROL_REGULATOR	${stringTableClimateControlRegTitle}
CLIMATECONTROL_REGULATOR|ADJUSTING_COMMAND	${stringTableClimateControlRegAdjCommand}
CLIMATECONTROL_REGULATOR|ADJUSTING_DATA	${stringTableClimateControlRegAdjData}
CLIMATECONTROL_REGULATOR|DECALCIFICATION_DAY	${stringTableClimateControlRegDecalcDay}
CLIMATECONTROL_REGULATOR|DECALCIFICATION_HOUR	${stringTableClimateControlRegDecalcHour}
CLIMATECONTROL_REGULATOR|DECALCIFICATION_MINUTE	${stringTableClimateControlRegDecalcMin}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_HUMIDITY_CHANGE	${stringTableClimateControlRegDisplayTempHum}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_HUMIDITY_CHANGE=TEMPERATUR_AND_HUMIDITY	${stringTableClimateControlRegDisplayTempHumTH}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_HUMIDITY_CHANGE=TEMPERATUR_ONLY	${stringTableClimateControlRegDisplayTempHumT}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_INFORMATION	${stringTableClimateControlRegDisplayTempInfo}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_INFORMATION=ACTUAL_VALUE	${stringTableClimateControlRegDisplayTempInfoActualTemp}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_INFORMATION=SET_POINT	${stringTableClimateControlRegDisplayTempInfoSetPoint}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_UNIT	${stringTableClimateControlRegTempUnit}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_UNIT=CELSIUS	${stringTableClimateControlRegTempUnitC}
CLIMATECONTROL_REGULATOR|DISPLAY_TEMPERATUR_UNIT=FAHRENHEIT	${stringTableClimateControlRegTempUnitF}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_REGULATOR	${stringTableClimateControlRegRegulator}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_REGULATOR=AUTO	${stringTableClimateControlRegRegulatorAuto}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_REGULATOR=CENTRAL	${stringTableClimateControlRegRegulatorCentral}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_REGULATOR=MANUAL	${stringTableClimateControlRegRegulatorManu}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_REGULATOR=PARTY	${stringTableClimateControlRegRegulatorParty}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_VALVE	${stringTableClimateControlRegValve}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_VALVE=AUTO	${stringTableClimateControlRegValveAuto}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_VALVE=CLOSE_VALVE	${stringTableClimateControlRegValveClose}
CLIMATECONTROL_REGULATOR|MODE_TEMPERATUR_VALVE=OPEN_VALVE	${stringTableClimateControlRegValveOpen}
CLIMATECONTROL_REGULATOR|PARTY_END_TIME	${stringTableClimateControlRegPartyEndTime}
CLIMATECONTROL_REGULATOR|SETPOINT	${stringTableClimateControlRegSetpoint}
CLIMATECONTROL_REGULATOR|SETPOINT=VENT_CLOSED	${stringTableClimateControlRegSetpointVentClosed}
CLIMATECONTROL_REGULATOR|SETPOINT=VENT_OPEN	${stringTableClimateControlRegSetpointVentOpen}
CLIMATECONTROL_REGULATOR|STATE=FALSE	${stringTableClimateControlRegStateFalse}
CLIMATECONTROL_REGULATOR|STATE=TRUE	${stringTableClimateControlRegStateTrue}
CLIMATECONTROL_REGULATOR|TEMPERATUR_COMFORT_VALUE	${stringTableClimateControlRegComfortValue}
CLIMATECONTROL_REGULATOR|TEMPERATUR_LOWERING_VALUE	${stringTableClimateControlRegLoweringValue}
CLIMATECONTROL_REGULATOR|TEMPERATUR_PARTY_VALUE	${stringTableClimateControlRegPartyValue}
CLIMATECONTROL_REGULATOR|TEMPERATUR_SET_POINT	${stringTableClimateControlRegSetPoint}
CLIMATECONTROL_REGULATOR|TEMPERATUR_WINDOW_OPEN_VALUE	${stringTableClimateControlRegWindowOpenValue}
